concentration,solidsFlux
0,0
0.000129749,-0.003544599
0.000516176,-0.053375831
0.001096522,-0.124563977
0.001675458,-0.202869527
0.002053423,-0.295405184
0.002806533,-0.494711308
0.002826277,-0.395067648
0.003972865,-0.608617982
0.005127916,-0.779463891
0.005888077,-0.943182993
0.007436606,-1.128273113
0.008979494,-1.341832849
0.01091586,-1.569636796
0.011683073,-1.697768877
0.013240064,-1.840154571
0.014799876,-1.968305456
0.015565679,-2.103554941
0.016337122,-2.210334809
0.017901165,-2.317133482
0.019463797,-2.431049559
0.021216117,-2.587674762
0.023759625,-2.751436174
0.026305249,-2.904521479
0.029443912,-3.064738292
0.0347594,-3.239241625
0.039892252,-3.33544881
0.045039912,-3.356923251
0.049799735,-3.335683863
0.0537726,-3.285956054
0.059337715,-3.200678833
0.063716752,-3.101138597
0.06730319,-3.001579556
0.070491919,-2.909128518
0.073683468,-2.802442671
0.077271317,-2.695766226
0.079667447,-2.603296383
0.082464107,-2.48948373
0.086051956,-2.382807285
0.090038925,-2.261905433
0.094032945,-2.105416561
0.09762573,-1.973829201
0.102612614,-1.806687727
0.107200378,-1.65377166
0.112784532,-1.472409481
0.11776789,-1.323061518
0.122352128,-1.187938961
0.128327645,-1.031497099
0.134699461,-0.87506464
0.140273038,-0.747082993
0.146240093,-0.633345556
0.152205737,-0.526725524
0.157374552,-0.4414389
0.162938256,-0.363279083
0.169295969,-0.278020666
0.176043635,-0.22479997
0.18358531,-0.164480674
0.19072716,-0.121945487
0.198263194,-0.090095808
0.206986715,-0.065391739
0.214916932,-0.044227569
0.224827236,-0.030227813
0.233944236,-0.019767956
0.241673483,-0.012833893
0.250590923,-0.009486738
0.258517615,-0.006116079
0.266641751,-0.006308822
0.275162892,-0.002952265
0.282692579,-0.003130906
0.288241475,0.000296167
0.294582969,0.003704435
0.299339971,0.010709014
0.3,0
